time,audio_spend,audio_impression,search_spend,search_impression,social_spend,social_impression,streaming_spend,streaming_impression,tv_spend,tv_impression,video_spend,video_impression,conversions,revenue_per_conversion,gqv_control
2023-09-20,0.0,0,316258.42,24492656,3125.97,213700,26540.4,5324986,84755.14,113312267,25783.06,29997342,37037,112.2246,1569.5
2023-09-27,0.0,0,296201.89,25815082,5108.23,320353,28071.01,5384199,93885.02,133073473,26069.87,32405610,35448,113.9003,1538.34
2023-10-04,8264.6,63702,342930.38,28002522,4045.63,271801,33977.98,7087793,109270.86,150405468,21477.89,24621397,35837,113.9884,1547.62
2023-10-11,0.0,0,327277.76,26335264,5850.81,377177,20642.52,4017693,91470.79,126743694,29666.11,33887958,36802,113.5238,1587.32
2023-10-18,13527.7,101755,374057.84,32869391,7234.64,495668,26402.05,5160442,72474.61,102420646,22799.94,27783414,41318,113.7068,1635.45
2023-10-25,9199.04,69778,347486.27,26315283,8249.68,554132,26622.33,5307427,113683.92,159939383,25555.62,29438208,43932,114.2559,1767.83
2023-11-01,6469.33,46180,400171.78,31059245,4868.54,337031,23919.57,4706490,98855.82,123120118,28397.58,32286778,39388,112.6613,1678.34
2023-11-08,7636.79,53770,301173.51,24789001,5814.17,371577,27862.66,5845288,104031.82,149797988,24302.08,29826056,41898,113.0194,1807.91
2023-11-15,7508.42,51120,323177.46,27564088,3309.29,210954,22364.57,4128828,92526.69,116101680,30385.91,38071573,39768,113.5018,1804.59
2023-11-22,10528.86,73509,273761.51,24845060,6341.18,398916,25520.77,5082312,97323.74,139864070,29217.17,32673318,43133,114.5287,1904.8
2023-11-29,5208.27,39503,329667.35,26091445,4931.56,323593,24663.04,4501679,109394.3,142775205,32910.93,38479446,43109,115.9471,1874.27
2023-12-06,6744.46,46314,419658.31,31905744,4913.01,301067,28192.97,5123460,89760.99,112878054,27442.32,35349572,44927,111.5186,1904.08
2023-12-13,15423.3,108049,355474.13,28001708,4246.13,286690,24538.44,4368629,109917.74,143941166,25307.47,27893397,45641,112.698,1893.55
2023-12-20,12662.89,99376,350510.19,26596463,4666.06,315139,24518.96,4367350,122403.95,156587104,25490.18,29651741,44328,113.028,1925.04
2023-12-27,8520.31,59113,359382.05,26222135,7397.85,486131,41573.34,7663868,117381.38,149768025,23699.95,26377975,45427,113.0742,1952.12
2024-01-03,11256.68,76166,361652.17,30130896,4524.51,279518,26860.27,4982937,86474.79,106092686,31726.58,35311867,43805,113.5506,1914.6
2024-01-10,10131.06,72474,432813.34,35847451,2765.85,174186,31227.21,5439760,103825.13,128188730,41245.98,44278971,44996,114.2329,1936.47
2024-01-17,0.0,0,355842.01,27979074,4679.11,334290,27504.88,4529576,120436.64,171419740,25174.31,25185910,42089,111.0023,1774.39
2024-01-24,8335.89,57673,333890.67,26800886,2656.91,154696,27567.0,4911736,90886.54,113923603,28228.21,28632092,41891,113.2207,1839.21
2024-01-31,16115.33,112577,290337.59,21836472,2045.04,117875,26653.58,4680240,80007.93,98805143,28593.25,30922698,42220,112.7147,1853.59
2024-02-07,0.0,0,300990.68,22140254,5199.64,304873,28879.51,4766170,117937.37,146101189,29244.72,30000474,40714,114.4867,1725.31
2024-02-14,11677.04,80924,240671.64,18641211,3424.33,224934,25464.6,4437011,103777.28,119922250,21858.25,21700052,40736,115.6887,1727.27
2024-02-21,6090.05,40893,310305.84,23501676,5097.09,297038,31873.83,5522409,125252.34,165989678,26100.47,29142928,36678,113.7743,1593.42
2024-02-28,6518.33,40665,327421.45,24164748,1982.43,118418,33659.32,5769879,91872.68,109895148,32470.36,35037721,37187,112.2712,1627.31
2024-03-06,8898.73,62250,314442.19,22122312,5752.2,360518,31937.36,5783156,113771.91,140623243,25899.71,26672758,36330,114.0867,1577.57
2024-03-13,7682.48,54579,262963.17,18058366,3832.17,222698,26402.4,4563270,111947.49,136654515,27787.62,28721504,38281,112.702,1597.29
2024-03-20,9296.5,64758,282867.83,21122953,3572.65,201115,26223.89,4415996,93577.34,108945810,33109.29,36807606,35802,115.8682,1543.88
2024-03-27,7582.63,51157,296175.47,25245355,4846.73,269500,25438.79,3997851,89646.0,107823583,40565.64,42666503,31036,113.0246,1384.0
2024-04-03,3629.03,24374,394933.82,31908175,5307.58,288183,25728.93,4579760,126177.73,159917733,25754.25,28939488,38371,113.0636,1534.09
2024-04-10,6722.81,45468,310044.76,23986323,3245.29,188415,26874.96,4738512,104512.23,111288131,32397.46,32762497,36148,114.9076,1426.41
2024-04-17,10223.15,70158,300715.19,23138601,3753.19,210987,25863.5,4544321,102152.17,109457539,24702.8,25432583,33422,115.9724,1341.86
2024-04-24,8923.59,61880,297233.44,22584912,2765.38,163641,29328.37,4952277,119887.47,136050557,25366.55,26903582,30426,114.1685,1335.05
2024-05-01,0.0,0,260149.51,19459046,5137.14,315092,33967.6,5995055,96778.16,122621688,25585.0,26184668,32401,113.5288,1392.02
2024-05-08,10546.57,70190,386469.41,28850739,3220.72,188943,28444.39,5292800,107022.76,149809273,33088.69,35103728,33286,115.4718,1395.14
2024-05-15,6943.53,44927,277129.65,22657079,3915.55,239560,26030.17,4566734,115361.74,138766931,22991.03,25365375,36417,112.9239,1397.23
2024-05-22,6964.48,52412,288612.03,22175270,4443.3,270839,30345.33,5493671,103985.26,134767452,31251.3,32272707,28806,114.9729,1294.67
2024-05-29,6097.05,45871,381323.02,30975692,4105.79,248090,29425.22,5678928,104573.8,130661054,31779.67,34370604,30965,113.3535,1432.53
2024-06-05,5329.55,40970,270165.63,20992338,4443.13,270155,29569.86,5180562,97177.08,119404827,24758.24,27021322,30314,114.6447,1326.26
2024-06-12,4992.34,32696,256526.06,21392149,6408.11,419963,31923.65,5643606,119478.94,148353683,30648.75,33548551,30749,114.4482,1342.16
2024-06-19,7964.23,51549,259228.98,22174789,3857.27,240788,32933.19,6074431,114410.16,144603810,28342.42,34293782,31209,113.8089,1379.04
2024-06-26,5885.54,44309,351264.23,28066101,2793.7,177434,31736.05,5862132,99829.5,136827274,30397.06,33349615,30400,115.596,1389.85
2024-07-03,13496.86,89501,271580.3,23040204,4383.38,267980,31052.29,5896358,92145.82,121073122,25900.62,28926881,31426,116.0666,1420.65
2024-07-10,5860.88,42718,224993.06,17722890,1787.65,113357,27618.34,4835072,111953.03,135533570,26488.27,29087611,35962,115.934,1488.14
2024-07-17,5687.38,45980,286018.96,21487009,5640.48,350193,36717.23,7033339,119908.72,157256481,28817.69,30867919,35201,111.9093,1428.25
2024-07-24,8144.36,60387,280247.92,21000731,6829.63,446921,32238.26,5549238,104955.21,131116231,25415.09,30263882,29959,114.4155,1276.7
2024-07-31,3231.49,22968,296594.54,26589477,4479.8,314010,26770.41,5056395,103488.63,141455930,29094.37,34215285,31312,116.4203,1346.92
2024-08-07,6030.87,38970,293669.82,26214418,4522.72,290814,25045.43,5079359,103206.37,128668332,23160.78,27369509,35528,113.6463,1484.68
2024-08-14,7455.48,54499,299399.96,24713316,3647.57,252916,20572.08,3904501,89514.52,117648404,26117.13,32936664,29968,113.8717,1296.64
2024-08-21,5443.62,45451,298161.45,24336759,5702.38,344095,32598.52,6209418,118559.09,151043436,32874.28,38474028,32744,114.8036,1428.63
2024-08-28,8229.45,67654,277757.6,23062393,3710.68,239299,28075.51,5230533,123022.18,154110490,24602.14,27447314,33850,114.2364,1464.08
2024-09-04,5924.58,45139,270084.05,23795875,3840.62,226406,30384.12,5531653,97542.69,122042897,30302.03,35976245,33583,117.4327,1370.59
2024-09-11,7889.29,69414,254298.12,20866484,5102.1,320402,29137.67,5359629,95696.97,138469929,26093.27,31807507,33365,116.1703,1404.73
2024-09-18,11600.18,85875,405613.56,35963817,5527.78,362646,28924.45,5935166,107260.83,147186266,31933.93,41157060,35133,116.7589,1502.37
2024-09-25,11093.75,87712,322685.02,26566420,4234.97,296990,29040.93,5549306,98990.87,134629011,32956.74,37316671,35625,114.0808,1374.35
2024-10-02,10166.94,75106,294662.13,25554319,9113.59,651388,30863.74,6035717,124540.39,172292515,25224.06,30995964,34354,116.9104,1487.68
2024-10-09,6968.13,48989,283125.78,22692975,3786.53,274216,32396.31,6299926,121301.19,175382173,26913.85,31615619,36505,114.4732,1594.32
2024-10-16,8949.77,67610,268714.85,22100784,3472.22,226630,24251.62,5059758,100715.07,130518510,22172.31,28233538,35603,114.8361,1522.05
2024-10-23,7444.09,54330,255399.86,23429307,5051.89,340808,27351.93,5233387,96609.93,118960140,29348.9,31512398,37078,118.7709,1577.86
2024-10-30,7684.93,55378,269927.69,20740245,5421.44,336014,30882.28,5817736,112877.57,144061390,25491.86,27866316,40290,115.7292,1735.3
2024-11-06,4045.41,27917,268509.75,21258696,3180.06,204211,30066.0,5575162,106004.34,146074577,26590.58,32888365,35105,116.6624,1575.2
2024-11-13,0.0,0,307689.93,28094507,3247.53,218734,23241.38,4274821,108384.25,136502824,32577.97,37763092,42311,116.1456,1724.86
2024-11-20,6814.81,49470,308388.75,25796257,2871.64,192463,28259.42,5037333,112194.64,137566076,27197.78,31607227,44481,115.4073,1760.73
2024-11-27,7473.15,56386,317966.0,25946706,2101.43,126049,33108.77,6814066,109410.31,153469905,28273.53,32451494,41527,113.8902,1799.13
2024-12-04,0.0,0,365222.95,29740210,5589.67,365449,32997.13,5996113,96414.6,129923644,25666.12,29622754,42324,116.1608,1793.4
2024-12-11,6756.99,45212,291253.56,23950947,3078.39,218606,32681.07,5857689,102419.67,142503381,26061.59,28166678,42552,115.5309,1912.73
2024-12-18,8555.24,68017,303332.13,23267626,3827.61,221558,26709.35,4514832,87051.0,106071583,28636.16,31803426,39190,115.9251,1763.71
2024-12-25,5433.57,34265,325098.32,25632096,5212.58,362132,28180.36,5444473,102367.06,127956627,21303.65,24406969,42316,113.8248,1798.31
2025-01-01,9995.7,75986,340205.51,25686645,2841.73,170590,43227.83,7589543,111088.02,161382317,27701.44,27361885,42206,115.7057,1982.95
2025-01-08,7900.36,59331,264872.27,21682781,2896.52,172490,28658.29,5724553,117776.16,168507829,26816.49,27038753,40427,115.3509,1823.52
2025-01-15,5342.53,36184,299692.95,21682795,2790.39,165412,30603.23,5549964,96175.37,106901224,23452.13,24625081,44301,114.5418,1881.52
2025-01-22,0.0,0,351853.79,28898130,3170.74,199312,35154.98,6394431,113931.47,147782028,28432.68,29820694,42656,115.4197,1862.01
2025-01-29,6822.11,49257,358750.65,30337050,3684.1,242547,33162.51,5542253,139077.42,166146817,29117.52,29058493,39321,118.5925,1727.85
2025-02-05,6901.15,46531,281065.97,22261732,7547.52,444278,26472.98,4567382,95890.14,122733848,26698.74,27796554,39126,116.0576,1685.93
2025-02-12,4633.38,33245,323316.7,23873401,3333.72,206781,27290.0,5007955,97736.57,129051109,26098.48,28839102,38982,116.8826,1715.06
2025-02-19,4368.89,30933,269010.77,22206680,2927.77,163177,30102.57,5050102,83113.47,102512484,30512.85,33764039,37872,115.5923,1593.74
2025-02-26,2828.7,19322,252890.05,19140688,5480.28,333951,29111.89,4810393,103672.16,126020564,21041.45,20850157,38577,116.037,1575.56
2025-03-05,8617.64,61897,297819.33,24389036,3783.82,222225,40896.86,7233131,101458.93,122108431,25402.21,26591168,36108,116.0357,1541.7
2025-03-12,6927.15,45437,229128.97,16780187,8620.7,466801,23864.76,4614784,117750.26,131395773,23986.04,24487074,35237,113.4351,1572.59
2025-03-19,5506.35,37272,347993.69,25975771,4057.65,264179,30457.96,5092446,107004.88,122359598,20278.92,22212426,36583,116.3364,1509.08
2025-03-26,3166.04,21261,352161.86,27246587,2126.29,125544,37299.47,5962678,118289.0,152715275,26553.88,27410170,30086,115.8751,1347.81
2025-04-02,0.0,0,295352.99,24401446,3156.57,183818,26322.18,4433615,118126.43,152270720,29213.99,30936959,30096,114.7124,1348.46
2025-04-09,4567.22,28623,249884.06,18704696,2828.33,170042,26345.07,4382573,102302.49,123893235,28224.07,31014908,34828,116.3273,1387.48
2025-04-16,5198.03,33404,307120.47,23604514,3635.34,222719,33307.34,5972961,131765.34,171803457,29311.62,30091196,32057,116.995,1348.63
2025-04-23,2901.27,19015,270405.0,20751742,5036.03,294781,26935.44,4349575,106583.56,127151341,19647.25,21036751,31194,117.3914,1315.29
2025-04-30,7249.03,52746,293918.5,22869182,5212.36,312938,29813.3,5035243,98780.72,122949383,31049.85,29894419,31224,115.1436,1279.9
2025-05-07,0.0,0,277831.86,21002502,7133.35,427527,21733.55,3403123,133823.87,165571611,23664.22,28101361,30642,115.3976,1262.37
2025-05-14,9371.73,65586,317977.53,23943576,7562.18,415137,23836.42,3916256,136102.1,167259173,23839.66,24651961,28307,115.3652,1275.08
2025-05-21,7630.74,55033,263830.22,18528965,3355.39,192505,31544.44,5303592,135983.68,165858986,30876.89,30961342,30817,114.6615,1258.75
2025-05-28,5573.58,36159,301358.14,24212232,3337.52,199106,28849.25,5196401,121356.63,150253872,26059.69,30949885,29939,116.9986,1348.37
2025-06-04,4373.12,29225,284890.16,20950881,4817.25,272874,36322.43,6656572,128376.58,153361016,31624.44,35043011,32338,115.2414,1270.98
2025-06-11,4260.67,28609,269142.28,21607439,4007.75,239407,24503.54,4210157,113184.02,153673947,29702.91,32357222,31116,115.6434,1296.15
2025-06-18,0.0,0,310753.24,23445285,4356.95,266384,24739.01,4612155,124513.07,158395064,26088.89,29071397,32992,117.8758,1389.05
2025-06-25,5077.5,37439,287150.07,22113229,4088.41,261251,32567.57,6332640,102744.13,120954669,26694.88,30180874,32814,115.8817,1333.83
2025-07-02,3392.96,24873,297813.78,24478668,2623.62,169557,27317.98,4751080,101742.71,128817904,26181.5,27737247,34556,116.4479,1398.4
2025-07-09,0.0,0,249684.54,18596239,3816.99,250926,33291.27,5761298,106255.93,137706823,27821.38,31736650,29662,113.6416,1260.36
2025-07-16,7232.4,53428,285538.87,22908740,5993.65,382098,29058.23,5126746,110835.6,139380780,27227.97,30111257,30939,118.4227,1352.26
2025-07-23,8359.49,60385,242769.03,20084733,2477.57,154565,37238.72,7060934,110582.64,134071945,29834.85,35217892,30412,115.0845,1329.37
2025-07-30,5734.04,38884,262912.41,23240170,2909.85,195004,30016.98,5247583,154977.75,206651584,30520.58,33669053,33481,116.3706,1335.73
2025-08-06,5018.34,38858,269462.73,22710603,4227.76,266636,31634.52,6304026,119367.41,159652009,26823.57,26575977,31494,114.4498,1324.65
2025-08-13,5957.77,45943,345660.9,25578001,4211.84,256040,31289.09,6105613,127504.48,175841279,26445.34,28796686,32926,114.4569,1345.48
2025-08-20,0.0,0,225330.37,18745497,4285.62,278474,29652.66,5920794,158421.76,204112422,27927.94,32220273,31541,117.4887,1375.69
2025-08-27,3813.63,27153,278605.83,22228887,4498.53,293478,34768.23,6708496,150070.69,183953586,27919.32,33679769,34039,114.9513,1442.61
2025-09-03,3710.97,26443,284602.8,23709471,6026.97,353243,31947.09,5703034,112122.12,155393141,31950.03,35870972,32644,117.1049,1385.1
2025-09-10,6227.39,46265,254352.37,21347001,1876.01,125968,30461.8,5969924,130915.36,167614035,35914.32,43511062,33783,116.4101,1383.7
